col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
Doug Oliver,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Lynne M Abraham,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
T Milton Street Sr,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Mia Roberts Perez,,,,,,,0,2,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Abbe Fletman,,,,,,,,0,1,1,0,1,0,2,0,2,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Jennifer Schultz,,,,,,,,,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Kai Scott,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Ken Powell,,,,,,,,,,,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Leon Goodman,,,,,,,,,,,,0,1,1,1,1,2,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Lyris Younge,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Frances Fattah,,,,,,,,,,,,,,0,0,2,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Scott Diclaudio,,,,,,,,,,,,,,,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Stella Tsai,,,,,,,,,,,,,,,,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Tracy B Roman,,,,,,,,,,,,,,,,,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Betsy Wahl,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,14
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,14
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,14
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,14
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,14
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,14
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,14
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,14
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,14
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,14
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14
Total,12,10,4,1,1,0,4,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
,Jim Kenney,Anthony Hardy Williams,Nelson Diaz,Lynne M Abraham,Doug Oliver,T Milton Street Sr,Ken Powell,Tracy B Roman,Jon Marshall,Mia Roberts Perez,Scott Diclaudio,Lynne M Summers,Wayne M D Bennett,Brian T Ortelere,Daine Grey Jr,Jennifer Schultz,Kai Scott,Leon A King Ii,Leon Goodman,Lyris Younge,Abbe Fletman,Rainy Papademetriou,Chris Mccabe,James F Berardinelli,Marissa Brumbach,Shanese Johnson,Sherman Toppin,Betsy Wahl,Deborah Watson Stokes,Edward William Louden Jr,Joshua Hill,Lucretia Clemons,Rania Major,Starr Marshall Cash,Stella Tsai,Stephanie M Sawyer,Thomas Martin,Frances Fattah,Franklin A Bennett Iii,Michael Fanning,Vincent Furlong,Chris Mallios,Jodi Lobel,Sandjai Weaver,Vince Giusini,Vincent N Melchiorre,Anthony Kyriakakis,Tangie M Boston,William J Ciancaglini,15
Jim Kenney,41,0,0,0,0,0,4,5,3,2,5,4,3,2,1,4,2,1,3,3,0,3,1,1,2,1,1,2,2,1,1,1,2,2,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,15
Anthony Hardy Williams,,8,0,0,0,0,6,3,4,1,2,3,3,4,3,2,3,4,3,1,3,2,2,2,1,3,3,1,1,2,2,2,0,0,1,1,2,2,2,0,1,0,0,1,0,0,0,0,0,15
Nelson Diaz,,,11,0,0,0,2,2,2,4,1,0,1,0,2,0,1,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,15
Lynne M Abraham,,,,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Doug Oliver,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
T Milton Street Sr,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Ken Powell,,,,,,,0,7,6,1,6,2,2,3,4,2,2,1,4,6,2,3,0,3,1,1,2,0,1,3,1,2,0,0,0,0,1,1,1,1,2,1,0,1,0,1,0,0,0,15
Tracy B Roman,,,,,,,,0,4,1,5,3,2,3,3,3,2,1,5,6,1,1,1,2,1,1,1,1,3,3,0,1,1,2,1,1,2,1,0,1,2,1,0,1,0,1,0,0,0,15
Jon Marshall,,,,,,,,,0,1,4,2,3,3,4,2,1,1,4,3,3,2,1,2,1,1,2,0,1,3,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,15
Mia Roberts Perez,,,,,,,,,,0,3,1,2,1,2,1,2,2,0,1,3,2,2,1,2,0,1,2,0,0,1,0,2,1,2,1,0,1,0,2,1,1,1,0,1,1,0,0,0,15
Scott Diclaudio,,,,,,,,,,,0,3,2,3,2,3,2,0,3,5,2,2,0,2,1,0,3,1,0,2,1,1,1,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,0,15
Lynne M Summers,,,,,,,,,,,,0,4,3,2,4,3,2,3,1,1,1,2,1,1,2,4,2,2,1,2,2,2,2,1,2,2,0,2,1,0,0,0,0,1,0,0,0,0,15
Wayne M D Bennett,,,,,,,,,,,,,0,2,3,3,3,3,3,0,2,1,2,0,1,1,3,1,2,1,2,1,2,2,2,0,3,1,2,1,1,0,1,1,1,0,0,0,0,15
Brian T Ortelere,,,,,,,,,,,,,,0,1,3,3,3,3,2,2,2,1,2,0,0,2,1,1,1,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,15
Daine Grey Jr,,,,,,,,,,,,,,,0,0,2,2,3,2,2,1,2,1,1,1,2,0,1,2,1,0,1,1,1,0,2,1,1,1,2,1,1,1,0,1,0,0,0,15
Jennifer Schultz,,,,,,,,,,,,,,,,0,2,1,2,1,1,2,1,1,1,1,2,2,2,0,1,2,2,2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,15
Kai Scott,,,,,,,,,,,,,,,,,0,3,2,1,3,1,2,0,0,1,2,1,1,0,1,1,0,1,2,1,2,1,2,1,1,1,0,0,0,1,0,0,0,15
Leon A King Ii,,,,,,,,,,,,,,,,,,0,2,0,2,2,3,1,2,2,1,1,1,0,2,1,1,2,3,1,2,1,1,0,0,0,1,0,0,0,0,0,0,15
Leon Goodman,,,,,,,,,,,,,,,,,,,0,3,0,1,1,2,0,1,2,0,2,3,1,0,0,1,1,0,3,1,1,0,1,0,0,1,0,0,0,0,0,15
Lyris Younge,,,,,,,,,,,,,,,,,,,,0,1,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,15
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,0,1,2,0,1,1,1,1,0,0,0,1,1,1,2,1,0,1,1,1,1,1,1,0,0,1,0,0,0,15
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,1,1,2,0,0,2,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,15
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,1,2,1,0,1,1,2,2,2,2,1,1,1,0,0,0,1,0,0,0,0,0,0,15
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,0,1,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,15
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,2,1,1,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,15
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,2,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,15
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,2,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,15
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,15
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,15
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,15
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,15
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,15
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0,0,1,0,0,0,0,0,15
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,15
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,15
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,1,1,0,0,0,15
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,0,0,15
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,15
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,15
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,15
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,15
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,15
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,15
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15
Total,52,20,17,5,0,0,12,11,9,8,8,7,7,6,6,6,6,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,15
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
,Jim Kenney,Nelson Diaz,Anthony Hardy Williams,Lynne M Abraham,T Milton Street Sr,Doug Oliver,Scott Diclaudio,Leon Goodman,Ken Powell,Lyris Younge,Tracy B Roman,Jon Marshall,Edward William Louden Jr,Mia Roberts Perez,Jennifer Schultz,Daine Grey Jr,Rania Major,Brian T Ortelere,Abbe Fletman,Deborah Watson Stokes,Kai Scott,Thomas Martin,Anthony Kyriakakis,Rainy Papademetriou,James F Berardinelli,Lucretia Clemons,Vincent Furlong,Wayne M D Bennett,Betsy Wahl,Frances Fattah,Joshua Hill,Sandjai Weaver,Vince Giusini,Jodi Lobel,Marissa Brumbach,Shanese Johnson,Stella Tsai,Vincent N Melchiorre,Chris Mallios,Lynne M Summers,Michael Fanning,Sherman Toppin,Chris Mccabe,Franklin A Bennett Iii,Leon A King Ii,Starr Marshall Cash,Stephanie M Sawyer,Tangie M Boston,William J Ciancaglini,16
Jim Kenney,44,0,0,0,0,0,13,9,11,12,10,10,7,5,7,6,3,5,2,3,3,1,3,3,4,1,2,2,3,3,2,3,0,0,2,1,2,2,2,2,2,1,0,2,0,1,2,0,0,16
Nelson Diaz,,30,0,0,0,0,7,5,4,4,7,3,3,11,3,4,4,3,2,2,4,5,3,3,1,3,1,3,1,1,2,2,4,3,2,1,0,1,1,0,0,2,0,0,1,1,0,2,1,16
Anthony Hardy Williams,,,9,0,0,0,8,7,7,8,5,5,7,1,0,2,1,1,3,1,0,0,0,1,0,2,2,0,0,1,1,0,0,1,0,1,2,1,0,0,1,0,2,0,1,0,0,0,0,16
Lynne M Abraham,,,,3,0,0,1,2,0,0,1,0,0,1,2,0,1,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16
T Milton Street Sr,,,,,0,0,1,3,2,0,0,2,2,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16
Doug Oliver,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Scott Diclaudio,,,,,,,0,17,17,17,17,15,15,6,3,5,4,4,2,2,2,2,3,3,3,2,0,1,0,1,2,1,1,1,1,0,0,2,1,1,1,1,0,0,0,0,1,0,0,16
Leon Goodman,,,,,,,,0,17,16,17,18,15,6,6,3,6,3,2,3,3,6,2,4,4,2,2,2,1,1,3,1,2,1,0,2,1,0,1,2,1,1,1,0,0,1,0,2,1,16
Ken Powell,,,,,,,,,1,14,16,17,14,4,3,3,4,3,2,1,3,2,1,2,4,0,0,3,0,1,3,1,1,0,0,1,0,1,1,2,1,1,0,0,0,0,1,1,0,16
Lyris Younge,,,,,,,,,,0,17,15,13,3,4,5,2,3,4,3,3,1,2,2,2,2,4,1,1,3,2,2,1,3,2,1,2,3,1,0,3,0,2,1,0,1,1,1,1,16
Tracy B Roman,,,,,,,,,,,0,16,14,6,3,5,4,4,2,0,4,3,1,2,4,1,0,2,2,1,2,2,2,1,1,1,0,1,2,0,1,2,0,0,0,1,1,1,0,16
Jon Marshall,,,,,,,,,,,,0,15,3,3,3,3,3,1,1,3,3,0,1,4,0,1,2,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,16
Edward William Louden Jr,,,,,,,,,,,,,0,2,2,3,1,3,0,1,0,1,1,2,3,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16
Mia Roberts Perez,,,,,,,,,,,,,,0,7,6,8,3,5,4,6,6,3,4,3,5,1,2,4,4,2,2,1,3,3,2,3,3,3,3,1,1,1,1,0,1,2,1,0,16
Jennifer Schultz,,,,,,,,,,,,,,,0,5,6,2,3,4,2,4,4,4,4,1,2,3,5,4,2,2,2,2,2,2,2,1,1,3,0,1,0,1,0,0,1,1,2,16
Daine Grey Jr,,,,,,,,,,,,,,,,0,5,5,5,3,4,2,1,3,3,3,2,2,3,1,2,3,1,2,4,2,2,2,1,1,3,2,1,1,1,1,2,0,0,16
Rania Major,,,,,,,,,,,,,,,,,0,1,4,2,3,4,1,1,3,1,1,3,3,2,4,2,1,1,2,3,2,0,0,3,1,2,1,0,0,0,1,1,0,16
Brian T Ortelere,,,,,,,,,,,,,,,,,,0,1,2,2,1,2,5,4,3,2,1,1,1,1,3,2,1,2,0,1,1,2,0,1,1,0,2,1,2,0,0,0,16
Abbe Fletman,,,,,,,,,,,,,,,,,,,0,1,3,1,0,1,1,2,2,2,1,2,1,0,0,2,1,1,2,2,1,1,2,0,2,0,1,0,1,0,0,16
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,0,1,1,4,3,0,2,4,0,2,2,1,2,2,3,3,2,2,2,0,2,1,0,1,1,0,1,1,1,2,16
Kai Scott,,,,,,,,,,,,,,,,,,,,,0,4,0,1,1,2,1,2,1,1,1,2,1,1,2,1,0,1,2,1,2,0,0,1,0,2,1,1,0,16
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,2,1,3,1,0,1,1,3,1,0,1,0,0,1,1,0,2,0,0,1,1,0,2,1,16
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,0,4,1,2,2,1,2,2,1,0,3,2,1,1,1,1,1,1,0,1,0,1,1,0,0,1,2,16
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,1,0,1,2,1,1,2,2,1,0,1,1,2,1,0,0,0,1,1,1,0,1,1,16
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,2,1,1,1,1,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,16
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,2,1,1,1,2,1,1,3,2,2,0,1,0,2,1,0,1,0,0,0,16
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,2,2,1,2,2,1,0,0,2,0,2,1,0,1,0,1,2,16
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,3,2,2,0,0,1,0,1,0,1,0,2,0,0,1,0,0,1,0,16
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,1,2,2,2,0,1,1,0,1,0,1,0,0,1,0,1,16
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,2,1,0,2,2,1,1,0,0,1,1,0,0,0,0,0,16
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0,2,1,1,0,1,1,1,1,0,0,0,0,1,0,16
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,1,1,1,1,1,1,0,1,0,2,1,0,0,16
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,0,0,2,0,0,1,1,0,1,2,16
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,2,0,0,0,0,1,0,0,0,0,1,1,16
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,16
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,1,1,0,1,0,0,0,1,1,1,16
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,2,1,0,0,1,0,0,16
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,0,0,1,0,0,16
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,1,1,0,0,16
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,16
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,1,0,0,16
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,16
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,16
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,16
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,16
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,16
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,16
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,16
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16
Total,69,48,24,7,4,1,30,26,25,24,23,20,19,19,14,12,10,9,8,8,8,8,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,16
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
